================================================================================
RAPPORT D'EXTRACTION - BiographieNationale Volume 1
================================================================================

Biographies extraites : 458
Renvois (Voir...) ignorés : 133
Faux positifs ignorés : 25
Total entrées détectées : 616

--- ALERTES (2 entrées courtes < 150 car.) ---
  AKEN (Henri VAN).txt | 2098 mots | 12436 car. | OK
  AKEN (Jérôme VAN) ou AGNEN, BOS ou BOSCH.txt | 532 mots | 3226 car. | OK
  AKEN (Joseph VAN).txt | 79 mots | 451 car. | OK
  AKEN (Nicolas VAN).txt | 76 mots | 480 car. | OK
  AKEN (Sébastien VAN).txt | 140 mots | 845 car. | OK
  ALAERS (François) ou ALARDTS.txt | 1154 mots | 7011 car. | OK
  ALAIN.txt | 1268 mots | 7628 car. | OK
  ALAIN DE LILLE ou ALANUS DE INSULIS.txt | 744 mots | 4613 car. | OK
  ALAR (Antoine), ALLART, ALLARD ou ALLARDI.txt | 169 mots | 1041 car. | OK
  ALBANY (Louise-Maximiliane-Caroline-Emmanuel, princesse de Stolberg, comtesse D').txt | 724 mots | 4452 car. | OK
  ALBÉRIC DE THOSAN OU de TER- DOEST.txt | 411 mots | 2568 car. | OK
  ALBÉRIC DE TROIS-FONTAINES.txt | 1168 mots | 7079 car. | OK
  ALBÉRON I, ou ADALBÉRON.txt | 1977 mots | 11891 car. | OK
  ALBÉRON II.txt | 2130 mots | 13592 car. | OK
  ALBERT.txt | 417 mots | 2612 car. | OK
  ALBERT-CASIMIR.txt | 724 mots | 4478 car. | OK
  ALBERT (Saint), dit DE LOUVAIN, mort le 24 novembre 1192.txt | 1002 mots | 6144 car. | OK
  ALBERT I.txt | 373 mots | 2252 car. | OK
  ALBERT II.txt | 383 mots | 2277 car. | OK
  ALBERT III.txt | 563 mots | 3369 car. | OK
  ALBERT DE RETHEL.txt | 481 mots | 2994 car. | OK
  ALBRIC.txt | 104 mots | 516 car. | OK
  ALDEBERT (Bienheureux).txt | 178 mots | 1137 car. | OK
  ALDEGONDE (Sainte).txt | 454 mots | 2814 car. | OK
  ALDRINGEN (Jean D').txt | 595 mots | 3727 car. | OK
  ALDRINGEN (Marc).txt | 104 mots | 615 car. | OK
  ALEGAMBE (Philippe).txt | 543 mots | 3396 car. | OK
  ALEN (André) ou ALENUS.txt | 156 mots | 1005 car. | OK
  ALENÇON (François de Valois, duc D').txt | 807 mots | 4967 car. | OK
  ALÈNE (Sainte), HALÈNE ou HÉLÈNE.txt | 438 mots | 2581 car. | OK
  ALER (Paul).txt | 408 mots | 2497 car. | OK
  ALEXANDRE Ier.txt | 654 mots | 4027 car. | OK
  ALEXANDRE II.txt | 224 mots | 1392 car. | OK
  ALEXANDRE.txt | 92 mots | 576 car. | OK
  ALEXANDRE (Pierre).txt | 754 mots | 4513 car. | OK
  ALGERUS, ADELGERUS ou ALGER.txt | 224 mots | 1347 car. | OK
  ALGOET (François-Antoine).txt | 749 mots | 4686 car. | OK
  ALIX ou ALEYDE DE BOURGOGNE.txt | 679 mots | 4111 car. | OK
  ALLAMONT (Antoine D').txt | 176 mots | 1130 car. | OK
  ALLAMONT (Eugène-Albert D').txt | 941 mots | 5820 car. | OK
  ALLAMONT (Jean D').txt | 158 mots | 961 car. | OK
  ALLEYNS (Laurent), dit VAN HOVE.txt | 501 mots | 3218 car. | OK
  ALMARAZ (Josse D' ou VAN).txt | 69 mots | 437 car. | OK
